#ZVView-data-copy:  26-Feb-2021 10:43:30
#=======================================
#
#name:   ENDF/B-VIII.0: AL-27(N,EL)AL-27-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  3891
#data...
#            X            Y
#          MeV        barns
         1e-11      15.6821 
   1.10304e-11      14.9371 
   1.21669e-11       14.228 
   1.34206e-11      13.5532 
   1.48034e-11      12.9109 
   1.63287e-11      12.2996 
   1.80949e-11      11.6912 
   1.99594e-11       11.139 
   2.20159e-11      10.6136 
   2.42843e-11      10.1137 
   2.67865e-11      9.63813 
   2.95465e-11      9.18574 
   3.25909e-11      8.75544 
   3.59489e-11      8.34618 
    3.9653e-11      7.95699 
   4.37387e-11      7.58692 
   4.82454e-11      7.23508 
   5.32165e-11      6.90064 
   5.86998e-11      6.58277 
    6.4748e-11      6.28072 
   7.19196e-11      5.97389 
   7.98897e-11      5.68338 
   8.87385e-11      5.40867 
   9.85723e-11      5.14873 
    1.0949e-10      4.90309 
   1.21625e-10      4.67081 
   1.35096e-10       4.4515 
   1.50067e-10      4.24431 
   1.66688e-10      4.04887 
   1.85161e-10      3.86442 
   2.05669e-10      3.69065 
   2.28462e-10      3.52686 
   2.53766e-10      3.37277 
   2.81889e-10      3.22776 
   3.13111e-10      3.09156 
    3.4781e-10      2.96364 
    3.8906e-10      2.83598 
   4.35202e-10      2.71692 
   4.86816e-10      2.60606 
   5.44552e-10      2.50298 
   6.09135e-10      2.40729 
    6.8615e-10      2.31333 
   7.72941e-10      2.22684 
   8.70667e-10      2.14747 
   9.80797e-10      2.07475 
     1.1126e-9      2.00463 
    1.26211e-9      1.94111 
    1.44174e-9      1.88075 
    1.65855e-9      1.82405 
    1.90797e-9       1.7738 
    2.21039e-9      1.72735 
    2.57867e-9      1.68495 
    3.05075e-9      1.64517 
    3.63454e-9      1.61003 
    4.39136e-9      1.57824 
     5.4183e-9      1.54924 
    6.82721e-9      1.52362 
    8.84735e-9      1.50112 
    1.19568e-8      1.48134 
    1.69716e-8      1.46471 
    2.52118e-8      1.45175 
       2.53e-8      1.45165 
    4.27851e-8      1.44078 
    8.74161e-8      1.43275 
    2.68123e-7      1.42755 
    4.41767e-6       1.4249 
    0.00073397      1.38019 
    0.00177762      1.32933 
    0.00329111      1.26824 
     0.0046415       1.2217 
     0.0051087      1.21164 
    0.00516062      1.21143 
    0.00533365       1.2145 
    0.00543748      1.22215 
    0.00551102      1.23376 
    0.00556293      1.24814 
    0.00560186      1.26493 
    0.00562782      1.28071 
    0.00565377      1.30206 
    0.00567973      1.33162 
    0.00569919      1.36196 
    0.00571217      1.38769 
    0.00572515      1.41937 
    0.00573813      1.45896 
    0.00574786      1.49547 
     0.0057576      1.53961 
    0.00576733      1.59363 
    0.00577382      1.63662 
    0.00578031      1.68658 
    0.00578658      1.74288 
    0.00579264      1.80661 
    0.00579869      1.88181 
    0.00580323      1.94727 
    0.00580778      2.02211 
    0.00581253      2.11253 
    0.00581729      2.21825 
    0.00582086      2.30973 
    0.00582443       2.4137 
    0.00582789      2.52866 
    0.00583114      2.65145 
    0.00583438      2.79156 
    0.00583762      2.95237 
    0.00583979      3.07315 
    0.00584195      3.20652 
    0.00584411      3.35431 
    0.00584606      3.50139 
    0.00584801       3.6637 
    0.00584995       3.8434 
     0.0058519      4.04303 
    0.00585385      4.26559 
    0.00585579      4.51463 
    0.00585774      4.79445 
    0.00585969      5.11032 
     0.0058615       5.4434 
    0.00586287      5.72141 
    0.00586423      6.02711 
    0.00586559      6.36426 
    0.00586695       6.7372 
    0.00586817      7.10291 
    0.00586938      7.50518 
    0.00587059      7.94897 
     0.0058718      8.44006 
     0.0058731      9.02648 
     0.0058744      9.68495 
    0.00587526      10.1698 
    0.00587613       10.696 
    0.00587699      11.2682 
    0.00587786      11.8918 
    0.00587872      12.5729 
    0.00587959      13.3183 
    0.00588045      14.1359 
    0.00588132      15.0349 
    0.00588218      16.0255 
    0.00588305      17.1198 
    0.00588391      18.3313 
    0.00588478      19.6755 
    0.00588564      21.1702 
    0.00588629      22.4019 
    0.00588694      23.7388 
    0.00588759       25.191 
    0.00588824      26.7693 
    0.00588889      28.4853 
    0.00588954       30.351 
    0.00589019      32.3788 
    0.00589083      34.5807 
    0.00589148      36.9687 
    0.00589213      39.5531 
    0.00589278      42.3427 
    0.00589343      45.3431 
    0.00589429      49.6735 
    0.00589516      54.3691 
    0.00589602      59.3948 
    0.00589732      67.4047 
    0.00589949       81.024 
    0.00590052       87.032 
     0.0059013      91.0187 
      0.005902      94.0518 
    0.00590264      96.3678 
    0.00590329      98.1024 
    0.00590392      99.1816 
    0.00590462      99.6359 
    0.00590468      99.6387 
    0.00590539       99.224 
     0.0059061      98.0002 
    0.00590658      96.7572 
    0.00590721      94.6367 
    0.00590783       92.024 
    0.00590846      88.9898 
     0.0059094      83.8182 
    0.00591066      76.1835 
     0.0059129       62.131 
    0.00591393      55.9899 
    0.00591471      51.6732 
    0.00591549      47.6414 
    0.00591627      43.9099 
    0.00591705      40.4812 
    0.00591783      37.3482 
    0.00591861      34.4968 
    0.00591939      31.9091 
    0.00592021      29.4414 
    0.00592081      27.7821 
    0.00592142       26.247 
    0.00592202      24.8264 
    0.00592263      23.5112 
    0.00592324      22.2931 
    0.00592414      20.6304 
    0.00592475      19.6211 
    0.00592553      18.4278 
    0.00592631      17.3404 
    0.00592709      16.3476 
    0.00592786      15.4396 
    0.00592864      14.6076 
    0.00592942      13.8437 
     0.0059302      13.1411 
    0.00593098      12.4937 
    0.00593184      11.8326 
    0.00593271      11.2264 
    0.00593357      10.6694 
    0.00593487      9.91537 
    0.00593617       9.2464 
    0.00593747      8.65045 
    0.00593857      8.19481 
     0.0059399      7.69508 
    0.00594124      7.24638 
    0.00594258      6.84204 
    0.00594391      6.47643 
    0.00594525      6.14484 
    0.00594658      5.84327 
    0.00594792      5.56828 
    0.00594952      5.26956 
    0.00595138      4.95826 
    0.00595325      4.68104 
    0.00595511       4.4331 
    0.00595698      4.21047 
    0.00595885      4.00987 
    0.00596071      3.82852 
    0.00596258      3.66404 
    0.00596459      3.50307 
    0.00596675      3.34704 
    0.00596892      3.20622 
    0.00597216       3.0194 
    0.00597541      2.85729 
    0.00597865      2.71571 
     0.0059819      2.59133 
    0.00598514      2.48148 
    0.00598838      2.38398 
    0.00599163      2.29705 
    0.00599595      2.19514 
    0.00599971      2.11761 
     0.0060045      2.03096 
    0.00600928      1.95566 
    0.00601407      1.88993 
    0.00602045      1.81451 
    0.00602716      1.74743 
    0.00603419      1.68783 
    0.00604121      1.63709 
    0.00605176      1.57401 
    0.00606149      1.52647 
    0.00607123      1.48688 
     0.0060842      1.44358 
    0.00609718      1.40856 
    0.00611665      1.36731 
    0.00612963      1.34543 
    0.00615558      1.31104 
    0.00618154      1.28546 
    0.00622047      1.25772 
     0.0062594      1.23805 
    0.00632429      1.21566 
    0.00640649      1.19746 
    0.00652761      1.18052 
    0.00673526      1.16281 
    0.00715055      1.14072 
    0.00823203      1.09894 
     0.0133453     0.917419 
     0.0165167     0.798018 
     0.0207597     0.633091 
     0.0219795     0.589222 
     0.0227927     0.563215 
     0.0234842     0.544512 
     0.0241634     0.530071 
     0.0242192     0.529475 
     0.0242502     0.530739 
     0.0242626     0.533217 
      0.024271     0.537525 
     0.0242752     0.542165 
     0.0242784     0.548838 
       0.02428     0.554621 
     0.0242816     0.563705 
     0.0242827     0.572756 
     0.0242838     0.585453 
     0.0242846     0.598276 
     0.0242854     0.614834 
     0.0242861     0.634699 
     0.0242868     0.656196 
     0.0242874     0.682395 
     0.0242881     0.714141 
     0.0242885     0.738844 
      0.024289     0.766725 
     0.0242894     0.798077 
     0.0242898     0.833235 
     0.0242903     0.872496 
     0.0242907     0.916192 
     0.0242911     0.964618 
     0.0242916       1.0181 
      0.024292      1.07689 
     0.0242924      1.14127 
     0.0242929      1.21144 
     0.0242933      1.29114 
     0.0242938      1.37749 
     0.0242942       1.4706 
     0.0242947      1.57044 
     0.0242952      1.67694 
     0.0242958      1.84869 
     0.0242965      2.03376 
     0.0242972      2.22912 
     0.0242982      2.53859 
     0.0243004      3.22118 
     0.0243011      3.44249 
     0.0243019       3.6402 
     0.0243027      3.84138 
     0.0243035      4.00014 
      0.024304      4.09803 
     0.0243048      4.18629 
     0.0243053      4.23066 
      0.024306      4.25425 
     0.0243062      4.25463 
     0.0243067      4.24316 
     0.0243072      4.20882 
     0.0243079      4.13687 
     0.0243085      4.04448 
     0.0243092       3.9254 
       0.02431      3.74423 
     0.0243109      3.50995 
     0.0243118      3.24987 
     0.0243143      2.45353 
     0.0243154      2.15099 
      0.024316      1.96185 
     0.0243167      1.79932 
     0.0243172      1.66152 
     0.0243178      1.53377 
     0.0243184      1.41634 
     0.0243189      1.30926 
     0.0243194      1.23566 
     0.0243198      1.16771 
     0.0243202      1.10519 
     0.0243207      1.04794 
     0.0243211     0.994028 
     0.0243216     0.942202 
      0.024322     0.895742 
     0.0243225     0.854279 
      0.024323     0.817414 
     0.0243234     0.784774 
     0.0243239     0.755952 
     0.0243244     0.730606 
      0.024325     0.701599 
     0.0243256      0.67736 
     0.0243262     0.657179 
     0.0243269     0.640425 
     0.0243275     0.626544 
