#ZVView-data-copy:  26-Feb-2021 18:27:25
#=======================================
#
#name:   ENDF/B-VIII.0: AL-27(N,G)AL-28
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  6537
#data...
#            X            Y
#          MeV        barns
         1e-11      11.7428 
   1.10304e-11      11.1809 
   1.21669e-11      10.6459 
   1.34206e-11      10.1365 
   1.48034e-11      9.65147 
   1.63287e-11      9.18963 
   1.80111e-11       8.7499 
   1.98669e-11      8.33121 
   2.19139e-11      7.93256 
   2.41719e-11      7.55298 
   2.66625e-11      7.19156 
   2.94097e-11      6.84744 
     3.244e-11      6.51978 
   3.57825e-11       6.2078 
   3.94694e-11      5.91076 
   4.35362e-11      5.62792 
   4.80221e-11      5.35862 
   5.29701e-11       5.1022 
    5.8428e-11      4.85806 
   6.44483e-11       4.6256 
   7.10888e-11      4.40426 
   7.84136e-11      4.19351 
   8.64931e-11      3.99285 
   9.54051e-11      3.80179 
   1.05235e-10      3.61987 
   1.16078e-10      3.44665 
   1.28039e-10      3.28173 
   1.41231e-10      3.12469 
   1.55784e-10      2.97518 
   1.71835e-10      2.83281 
    1.8954e-10      2.69726 
    2.0907e-10      2.56819 
   2.30612e-10       2.4453 
   2.54374e-10      2.32829 
   2.80584e-10      2.21688 
   3.09494e-10       2.1108 
   3.41383e-10       2.0098 
   3.76558e-10      1.91363 
   4.15358e-10      1.82206 
   4.58155e-10      1.73487 
   5.05362e-10      1.65186 
   5.57433e-10      1.57281 
   6.14869e-10      1.49755 
   6.78223e-10      1.42589 
   7.48105e-10      1.35766 
   8.25188e-10       1.2927 
   9.10213e-10      1.23084 
      1.004e-9      1.17194 
    1.10745e-9      1.11587 
    1.22155e-9      1.06247 
    1.34742e-9      1.01163 
    1.48625e-9     0.963223 
    1.63939e-9     0.917132 
    1.80831e-9     0.873246 
    1.99463e-9      0.83146 
    2.20016e-9     0.791674 
    2.42685e-9     0.753792 
    2.67691e-9     0.717722 
    2.95273e-9     0.683379 
    3.25697e-9     0.650678 
    3.59256e-9     0.619543 
    3.96272e-9     0.589897 
    4.37103e-9      0.56167 
    4.82141e-9     0.534793 
    5.31819e-9     0.509203 
    5.86616e-9     0.484837 
    6.47059e-9     0.461637 
     7.1373e-9     0.439547 
    7.87271e-9     0.418515 
    8.68389e-9     0.398488 
    9.57865e-9      0.37942 
    1.05656e-8     0.361264 
    1.16543e-8     0.343977 
    1.28551e-8     0.327518 
    1.41796e-8     0.311846 
    1.56406e-8     0.296924 
    1.72522e-8     0.282716 
    1.90298e-8     0.269188 
    2.09906e-8     0.256307 
    2.31534e-8     0.244044 
    2.52419e-8     0.233732 
       2.53e-8     0.233463 
    2.79068e-8     0.222296 
    3.07823e-8     0.211664 
     3.3954e-8     0.201543 
    3.74525e-8     0.191908 
    4.13115e-8     0.182736 
    4.55681e-8     0.174002 
    5.02633e-8     0.165686 
    5.54423e-8     0.157766 
    6.11549e-8     0.150221 
    6.74561e-8      0.14303 
    7.44066e-8      0.13618 
    8.20732e-8     0.129659 
    9.05297e-8     0.123455 
    9.98577e-8     0.117554 
    1.10147e-7     0.111937 
    1.21496e-7     0.106583 
    1.34014e-7     0.101478 
    1.47823e-7    0.0966148 
    1.63054e-7    0.0919854 
    1.79855e-7     0.087579 
    1.98386e-7    0.0833866 
    2.18827e-7     0.079402 
    2.41375e-7    0.0756111 
    2.66245e-7    0.0719932 
    2.93678e-7    0.0685432 
    3.23938e-7    0.0652587 
    3.57316e-7    0.0621322 
    3.94132e-7    0.0591586 
    4.34743e-7    0.0563379 
     4.8292e-7    0.0534582 
    5.32679e-7    0.0508954 
    5.87564e-7    0.0484555 
    6.48105e-7    0.0461332 
    7.14884e-7    0.0439227 
    7.88543e-7    0.0418205 
    8.69792e-7    0.0398319 
    9.59413e-7    0.0379237 
    1.05827e-6    0.0361047 
    1.16731e-6    0.0343734 
    1.28758e-6    0.0327255 
    1.42025e-6    0.0311569 
    1.56659e-6    0.0296637 
    1.72801e-6    0.0282426 
    1.90606e-6    0.0269005 
    2.10245e-6    0.0256098 
    2.31908e-6    0.0243806 
    2.55803e-6    0.0232109 
    2.82161e-6     0.022098 
    3.11233e-6    0.0210381 
    3.43302e-6    0.0200293 
    3.76022e-6    0.0191458 
    4.11881e-6    0.0182899 
    4.51138e-6     0.017473 
    4.97622e-6    0.0166328 
    5.48895e-6    0.0158341 
    6.05452e-6    0.0150738 
    6.67836e-6    0.0143502 
    7.31523e-6    0.0137127 
    8.06897e-6    0.0130543 
    8.83803e-6     0.012471 
