#ZVView-data-copy:  26-Feb-2021 17:14:37
#=======================================
#
#name:   JENDL-4.0: AL-27(N,TOT)
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  2566
#data...
#            X            Y
#          MeV        barns
         1e-11      27.1576 
   1.10304e-11      25.8635 
   1.21669e-11      24.6315 
   1.34206e-11      23.4588 
   1.48034e-11      22.3425 
   1.63287e-11      21.2799 
   1.80111e-11      20.2684 
   1.98669e-11      19.3058 
   2.19139e-11      18.3895 
   2.41719e-11      17.5175 
   2.66625e-11      16.6875 
   2.94097e-11      15.8978 
     3.244e-11      15.1462 
   3.57825e-11       14.431 
   3.94694e-11      13.7506 
   4.35362e-11      13.1032 
   4.80221e-11      12.4873 
   5.29701e-11      11.9014 
    5.8428e-11      11.3441 
   6.44483e-11      10.8141 
   7.10888e-11      10.3101 
   7.84136e-11       9.8323 
   7.89667e-11      9.79838 
   8.64931e-11      9.37777 
   8.77133e-11      9.31367 
   9.54051e-11      8.94546 
   9.74335e-11      8.85423 
   1.05235e-10      8.53434 
   1.08226e-10      8.41921 
   1.16078e-10      8.14347 
   1.20219e-10      8.00703 
   1.28039e-10      7.77199 
   1.33621e-10      7.61462 
   1.41231e-10      7.41886 
   1.48428e-10      7.24532 
   1.55784e-10      7.08339 
   1.64869e-10      6.89599 
   1.71835e-10      6.76476 
   1.83139e-10      6.56537 
    1.8954e-10      6.46222 
   2.03424e-10      6.25285 
    2.0907e-10      6.17505 
   2.25967e-10      5.95728 
   2.30612e-10      5.90255 
   2.50996e-10       5.6781 
   2.54374e-10       5.6441 
   2.78811e-10      5.41429 
   2.80584e-10      5.39904 
   3.09494e-10      5.16694 
   3.09693e-10      5.16544 
   3.41383e-10      4.94833 
   3.44013e-10      4.93144 
   3.76558e-10      4.74184 
   3.84812e-10       4.6968 
   4.15358e-10        4.546 
   4.30451e-10       4.4763 
   4.58155e-10      4.36044 
   4.81501e-10      4.26924 
   5.05362e-10      4.18476 
   5.38607e-10      4.07494 
   5.57433e-10      4.01854 
   6.02485e-10      3.89278 
   6.14869e-10      3.86139 
   6.73939e-10      3.72214 
   6.78223e-10      3.71299 
   7.48105e-10      3.57435 
   7.59148e-10       3.5539 
   8.25188e-10      3.44404 
   8.55172e-10      3.39758 
   9.10213e-10      3.32082 
   9.63296e-10      3.25202 
      1.004e-9      3.20459 
    1.09274e-9      3.10872 
    1.10745e-9      3.09445 
    1.22155e-9      2.99204 
    1.23959e-9      2.97699 
    1.34742e-9      2.89683 
    1.41608e-9      2.84953 
    1.48625e-9      2.80642 
    1.61763e-9      2.73191 
    1.63939e-9      2.72088 
    1.80831e-9      2.64215 
    1.86089e-9      2.61949 
    1.99463e-9       2.5685 
    2.15584e-9      2.51192 
    2.20016e-9      2.49813 
    2.42685e-9      2.43355 
    2.51504e-9      2.41042 
    2.67691e-9      2.37315 
    2.95273e-9      2.31502 
    2.97547e-9      2.31061 
    3.25697e-9      2.26307 
